variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
ab_queue,256,3,1,211.358,167.246,515.006,893.865,10.6547,35587,6a6d1ce,2026-08-24T13:12:11Z
ab_queue,256,3,2,211.625,167.421,515.241,894.541,10.6547,35587,6a6d1ce,2026-08-24T13:27:06Z
ab_queue,256,3,3,211.497,167.441,515.414,894.605,10.6547,35587,6a6d1ce,2026-08-24T13:42:06Z
hybrid_batcher_sort,256,3,1,216.83,0.10919,335.93,556.681,1039.93,20723,6a6d1ce,2026-08-24T13:51:24Z
hybrid_batcher_sort,256,3,2,216.73,0.109521,336.167,556.821,1039.93,20723,6a6d1ce,2026-08-24T14:00:42Z
hybrid_batcher_sort,256,3,3,216.994,0.109976,335.832,556.744,1039.93,20723,6a6d1ce,2026-08-24T14:09:59Z
