variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
ab_queue,256,3,1,102.023,80.4464,247.907,430.5,10.6547,35587,6a6d1ce,2026-08-24T12:20:09Z
ab_queue,256,3,2,102.239,80.7529,248.426,431.542,10.6547,35587,6a6d1ce,2026-08-24T12:27:20Z
ab_queue,256,3,3,101.808,80.5098,247.707,430.148,10.6547,35587,6a6d1ce,2026-08-24T12:34:31Z
hybrid_batcher_sort,256,3,1,107.24,0.0574606,203.344,312.567,1039.93,20723,6a6d1ce,2026-08-24T12:39:45Z
hybrid_batcher_sort,256,3,2,107.386,0.057592,203.636,313.005,1039.93,20723,6a6d1ce,2026-08-24T12:44:58Z
hybrid_batcher_sort,256,3,3,107.46,0.0575492,203.572,313.015,1039.93,20723,6a6d1ce,2026-08-24T12:50:12Z
