density_pct,P1a_ingress_s,P1b_agg_s,total_s,global_MB,rounds,rev,timestamp
0,0.0368515,0.248825,0.292847,69.4499,9036,3fec8a9,2026-08-24T11:53:57Z
10,0.0398231,0.251894,0.299284,69.4499,9036,3fec8a9,2026-08-24T11:53:57Z
50,0.0358871,0.241087,0.284287,69.4499,9036,3fec8a9,2026-08-24T11:53:58Z
90,0.0374265,0.247632,0.292698,69.4499,9036,3fec8a9,2026-08-24T11:53:58Z
