variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
ab_queue,2048,3,1,3315.79,2684.34,8214.91,14215.5,81.5177,283861,6a6d1ce,2026-08-25T05:07:41Z
ab_queue,2048,3,2,3317.32,2685.45,8216.74,14220,81.5177,283861,6a6d1ce,2026-08-25T09:04:42Z
ab_queue,2048,3,3,3316.32,2685.21,8214.5,14216.5,81.5177,283861,6a6d1ce,2026-08-25T13:01:40Z
hybrid_batcher_sort,2048,3,1,3401.11,1.72515,9037.17,12447,15264.6,251329,6a6d1ce,2026-08-25T16:29:10Z
hybrid_batcher_sort,2048,3,2,3403.01,1.72682,9042.78,12454.5,15264.6,251329,6a6d1ce,2026-08-25T19:56:45Z
hybrid_batcher_sort,2048,3,3,3403.28,1.724,9038.58,12450.6,15264.6,251329,6a6d1ce,2026-08-25T23:24:17Z
